featured,برجسته
exodus,خروج - مهاجرت
invention,اختراع
migrate,مهاجرت کردن
as a result,در نتیجه
dialects,گویش
core,هسته
converging,همگرا شدن
dominant,غالب - مسلط
species,گونه ها
botanists,گیاه شناسان
aboriginal,بومی
language nest,نوعی رویکرد آموزشی در کودکی
deliberately,عمداً
suppressed,سرکوب شده
pass on,منتقل شدن
halt,توقف
thaw,آب شدن یخ
cheeks,گونه‌ها
continent,قاره
stood out,برجسته شد
detached,جدا شده
yelled,فریاد زد
expression,بیان
stranger,غریبه
in a flash,در یک چشم به هم زدن
realized,متوجه شد
delighted,خوشحال
slight,خفیف
dog-sled,سورتمه سگ
journey,سفر
divergence,واگرایی
worldwide,در سراسر جهان
widespread,گسترده
squeezing out,بیرون زدن
linguists,زبان شناسان
estimate,تخمین
approximately,تقریباً
endangered,در معرض خطر
on the brink of,در آستانه‌ی
extinction,انقراض
global rate,نرخ جهانی
perspective,"دیدگاه، منظر"
expressions,عبارات
colloquial,"عامیانه، محاورهای"
phrases,عبارات
reflect,منعکس کردن
unique,منحصر به فرد
aspect,جنبه
encompass,"شامل شدن، در بر گرفتن"
landscape,منظره
grammatical,دستوری
essential,ضروری
examining,بررسی کردن
identical,یکسان
archaeologists,باستان شناسان
ancestral,اجدادی
existing,موجود
similarity,شباهت
present-day,امروزی
evidence,شواهد
mutually,متقابلاً
intelligible,قابل فهم
creatures,موجودات
dwindle,کم شدن
regeneration,بازسازی
disasters,بلایا
famine,قحطی
slip through the cracks,مورد بی توجهی واقع شدن
suppression,سرکوب
resilience,تاب‌آوری
pride,غرور
preserve,حفظ کردن
multilingual,چندزبانه
declining,رو به کاهش
favorable,مطلوب
minority,اقلیت
encouragement,تشویق
require,نیاز داشتن
engage ,همکاری
develop,توسعه دادن
components,اجزای
archived ,بایگانی شده
documentation,اسناد
reside,اقامت
resurgence,تجدید حیات
proportion,نسبت
virtually,عملاً
kindergarten,مهدکودک
elsewhere,در جای دیگر
recognition,به رسمیت شناختن
vital,حیاتی
diverse,متنوع
agreement,توافق
archived,بایگانیشده
biological,"زیستی، بیولوژیکی"
bordering on,"نزدیک به، در حد"
brutal,"بیرحم، وحشیانه"
catalog,"فهرست، کاتالوگ"
come together,"دور هم جمع شدن، به هم پیوستن"
comeback,بازگشت
conversational,محاورهای
converge,"همگرا شدن، به هم رسیدن"
cultural,فرهنگی
depletion,"کاهش، تخلیه"
dialect,"لهجه، گویش"
difference,"تفاوت، اختلاف"
dissimilarity,"عدم شباهت، تفاوت"
elimination,حذف
embrace,"پذیرفتن، در آغوش گرفتن"
emotional,"احساسی، عاطفی"
enlarge,بزرگ کردن
expand,"گسترش دادن، توسعه دادن"
geographical,جغرافیایی
hanging on,"وابسته بودن، ادامه دادن"
historical,تاریخی
incomprehensible,غیرقابل فهم
include,شامل شدن
informal,غیررسمی
linguistic,"زبانی، زبانشناختی"
literary,ادبی
multilingualism,چندزبانگی
multiply,چند برابر کردن/شدن
mutually intelligible,قابل فهم متقابل
preservation,"حفاظت، نگهداری"
prohibition,ممنوعیت
recovery,"بهبودی، بازیابی"
reduction,کاهش
relatively,نسبتاً
resides in,"ساکن در، نهفته در"
restriction,محدودیت
restored,"بازسازی شده، احیا شده"
separate,جدا
straightforward,"سرراست، مستقیم"
traditional,سنتی
transmission,انتقال
tropical,"استوایی، گرمسیری"
understandable,"قابل درک، قابل فهم"
verging on,"نزدیک به، متمایل به"
demonstrated,نشان داد
portrayed,به تصویر کشید
indicates,نشان میدهد
critics,منتقدان
egyptology,مصرشناسی
pharaohs,فراعنه
mummies,مومیاییها
overseas,"خارج از کشور، بینالمللی"
bankruptcy,ورشکستگی
principal,مدیر (مدرسه)
vice-principal,معاون مدیر (مدرسه)
argument,"جر و بحث، مشاجره"
tropics,مناطق استوایی
brute,"وحشی، حیوانی"
encouraged,تشویق شده
vibrant,"پرجنب و جوش، پویا"
industry,صنعت
significance,اهمیت
misunderstanding,سوءتفاهم
humidity,رطوبت
philosophical,فلسفی
functional,"کاربردی، عملی"
seasonal,فصلی
cynical,"بدبین، کلبی مسلک"
indigenous languages,زبانهای بومی
identifying,شناسایی کردن
illustrations,"تصاویر، نمونهها"
indigenous people,مردم بومی
culture,فرهنگ
in danger of dying out,در خطر از بین رفتن
collecting,جمعآوری کردن
myths,افسانهها
passed down,نسل به نسل منتقل شده
generation,نسل
recorded,ضبط کرده است
figure,"شخص، شخصیت"
elusive,"گریزان، دستنیافتنی"
campfire,آتش اردوگاه
arduous project,پروژه دشوار و طاقتفرسا
homeland,سرزمین مادری
highways,بزرگراهها
blacktop roads,جادههای آسفالته
rugged trail,مسیر ناهموار و صعبالعبور
maneuver,"مانور دادن، هدایت کردن"
experiences,تجربه میکند
simplicity,سادگی
concern for each other,نگرانی برای یکدیگر
academically satisfying,از نظر علمی رضایتبخش
enriched his life,زندگی او را غنی کرده است
remote area,منطقه دورافتاده
isolation,"انزوا، جدایی"
cooking utensils,وسایل آشپزی
farming equipment,تجهیزات کشاورزی
caves,غارها
huts,کلبهها
linguist,زبانشناس
embarked on,"شروع کرد، آغاز کرد"
deal directly with,مستقیماً سروکار داشتن با
no easy task,کار آسانی نیست
language police,پلیس زبان (کنایه از عدم وجود قوانین سخت)
observation,مشاهده
imitation,تقلید
acquired the language,زبان را فرا گرفت
frequent exposure,قرار گرفتن مکرر در معرض
analyzing the grammar,تحلیل دستور زبان
mastery of,تسلط بر
bibliography,کتابشناسی
indigenous tongues,زبانهای بومی
hides her,او را پنهان میکند
centaur-like baby,نوزاد سانتور-مانند (موجود افسانهای)
consulting with,مشورت کردن با
government officials,مقامات دولتی
literate,باسواد
bilingual,دوزبانه
in danger of extinction,در خطر انقراض
pronounce,تلفظ کردن
tribe,قبیله
social worker,مددکار اجتماعی
reluctant to cooperate,بی میل به همکاری
intermediary,میانجی
mission,مأموریت
goods,کالاها
gesture of friendship,حرکت دوستانه
accumulating wealth,انباشت ثروت
traditional life,زندگی سنتی
western tradition,سنت غربی
master (a language),به زبانی مسلط شدن
instruction,آموزش
lack formal education,فاقد تحصیلات رسمی
embark on,شروع کردن
acquire,"به دست آوردن، فراگرفتن"
descend on,هجوم آوردن به
arduous,طاقتفرسا
notion,"ایده، تصور"
useful skills,مهارتهای مفید
root words,ریشه کلمات
literature,ادبیات
legible,خوانا
lexicon,"واژگان، مجموعه لغات"
lectern,"تریبون، میز خطابه"
lexicographer,فرهنگنویس
deciphered,رمزگشایی شده
compiles,گردآوری میکند
illegible handwriting,دستخط ناخوانا
pronunciation key,راهنمای تلفظ
phonetic symbols,نمادهای آوایی
primary stress,تکیه اصلی (در هجا)
secondary stress,تکیه فرعی (در هجا)
fjord,"آبدره، شاخابه"
haunts,"پاتوقها، مکانهای آشنا"
inuktitut,اینوکتیتوت (زبان مردم بومی اینویت)
origin,"منشأ، خاستگاه"
migrating,"در حال مهاجرت، مهاجر"
endangering,به خطر انداختن
diversity,تنوع
swallow,"بلعیدن، از بین بردن"
tongues,"زبانها، گویشها"
flora,پوشش گیاهی
track,ردیابی کردن
origins,"ریشهها، خاستگاهها"
migrations,مهاجرتها
elders,"بزرگان، ریشسفیدان"
