hanut(haunted),ظاهر شدن
hunt,تعقیب - شکار
skimming,خوانش متن به صورت گزینشی
scanning,خوانش متن برای اطلاعاتی خاص
vanish(vanishing),ناپدید شدن
hitchhikers,رهگذران (سواری رایگان)
discover,کشف کردن - فهمیدن
incident,حادثه
cemetery,آرامگاه - گورستان
buried in,خود را وقف کاری کردن
deserted area,منطقه بیابانی
resurrection,رستاخیز
enthusiasm,شور و شوق
chilling,ترس
chilly,سرما
chili,تند
urban,محلی
indeed,به راستی
build,هیکل (با ساختمان اشتباه گرفته نشود)
moral,اخلاقی
postmortem,کالبد شکافی
retrace,برگشتن در مسیر قبلی
crowded with,شلوغ شده با
verify,تایید
whether…or...,خواه ... یا ...
weather,آب و هوا
instruct,دستور به انجام کاری دادن
spot,نقطه - مکان (گاها به معنای شناختن به کار میرود)
despite,به رغم
despite the fact that,با وجود اینکه
in spite of,به رغم اینکه
set,مشخص کردن
mortals,میرا
disconcerting,نگران کننده
unsuspecting,نا مشکوک
pick someone up  (drop someone off),سوار کردن کسی (پیاده کردن کسی)
mistake,اشتباه
desert,بیابان
dessert,دسر
quite,به طور کامل
quiet,ساکت
quit,توقف - خروج
magician,جادوگر
magic,جادو
coastguard,مامور نظارت بر دریا و سواحل
smuggling,قاچاق
"sit (at, in, on)",نشستن
seat (n) - (v),صندلی - نشستن
be engrossed in something,غرق در چیزی بودن
vanish into the thin air,به طور ناگهانی ناپدید شدن
sink,غرق شدن - افتادن - هماهنگی
think,فکر کردن
expenditure,خرج
retrieve,بازیابی
deceased,مرحوم - متوفی
pass away,مرگ
embarrassment,خجالت
debt,بدهی
conceived,تصور شده
funeral home,خانه مربوط به تشییع جنازه
witnessed,شاهد جنایت
imprints,اثر
peripheral vision,دید محیطی - لبه بینایی
astonished,شگفت زده
crowded,شلوغ
curious,کنجکاو
reveals,آشکار میکند
lavender,گل اسطوخودوس
fearing the worst,ترس از بدترین حالت
agile,چابک
waitress,پیشخدمت خانم
mortuary,غسال خانه
mortgage,رهن
murder,جنایت
immortal,نامیرا - جاودانه
moribund,رو به زوال
morbid,بیمارگونه
obsessed,وسواس
proportion,متناسب با
preoccupied,درگیر - مشغول
even though,با وجود اینکه
although,به رغم
though,به رغم
stay up,اصطلاح از بیدار ماندن تا دیروقت
oversleep,خواب بیش از حد
bear,ریشه bore و borne - تحمل کردن - به دنیا آوردن
mortified,تحقیر شده - خوار و خفیف
tale,داستان
lie,ریشه lay و lain - استراحت کردن
morgue,سرد خانه
mortality,مرگ و میر
amortize,مستهلک کردن
lay,ریشه laid و lain - قرار دادن
pray (v) – (n),عبادت - شکار شونده
"grip , grasp",گرفتن - محکم گرفتن و رها نکردن
witch,جادوگر
which,کدام
according to,طبق
nerve-racking,اعصاب خرد کن
pitch,دانگ صدا
displeased,ناراضی
a merry chase,سلسله مشکلات
furniture,مبلمان
yanked,کشیده شد
poked,نوک تیز
needle ,سوزن
yelling,فریاد زدن
snatch,قاپ زدن
inspiration,الهام
perhaps,شاید
perspire,عرق ریختن
conspire,توطئه کردن
respire,تنفس کردن
expire,منقضی شدن
aspire,آرزو کردن
transpire,عبور کردن
prevailing,غالب
deathbed,بستر مرگ
swore,قسم خورد
torment,عذاب
malicious,بدخواه
indifferent,بی تفاوت
spread,گسترش
differ,متفاوت بودن
defer,تاخیر
vary,تفاوت
swear,قسم خوردن
investigate,تحقیق کردن
phenomenon,پدیده
expose,افشا کردن
hoax,فریب
inspected,بازرسی شده
encountered,مواجه شد
vengeance,انتقام
recounts,بازگو میکند
rouse,بر انگیختن
summon,فراخواندن
taunting,مسخره کردن
joyously,با شادی
phenomena,پدیده
through,از طریق
variety,تنوع
eventually,در نهایت
principal,مدیر
principle,اصل
lead someone a merry chase,باعث ایجاد سلسله مشکلات برای کسی شدن
criteria,معیارها
criterion,اعتبار
either…or…,هم ... و هم ...
neither…nor…,نه ... و نه ...
date,تاریخ
rise,افزایش یافتن
raise,افزایش دادن
recount,"گفتن چیزی، بازشماری"
conscience,وجدان
chaotic ,هرج و مرج
vendetta ,انتقام - مجازات
retaliation ,تلافی جویی
anarchism,آنارشیسم - ضد انحصار طلبی
depose,خلع قدرت
composition,انشا
compose,نوشتن
component,جزء
disposable ,قابل مصرف
postpone,به تعویق انداختن
oppose,مخالفت
propose,پیشنهاد دادن
trial,محاکمه
transpose,جابجایی - ترانهاده
anecdote,حکایت
proverb,ضرب المثل
gossip,شایعات
fable,افسانه
stupor,بلاهت - گیجی
vial,شیشه کوچک دارو
entertain,سرگرم کردن
phantom,روح
mortal,فانی
interact,تاثیر مقابل داشتن و تعامل
destination,مقصد
consider,در نظر گرفتن
urban legends,افسانه شهری
determine,معین کردن
athlete,ورزشکار
particular,خاص
puzzled,گیج کردن - فکر کردن
youth,جوانی
doorbell,ناقوس - زنگوله
mysterious,مرموز
reveal,افشا کردن
buried,به خاک سپردن
military,نظامی
peripheral,دید پیرامونی
passenger,مسافر
remains,باقی مانده
engrossed,مجذوب
route,جاده - مسیر
soldier,سرباز
involves,در بر گرفتن
specific,خاص
vehicle,وسیله نقلیه
relative,نسبی
occupy,قرار داشتن - پر کردن
uncertain,مردد - غیر قطعی
grip,محکم گرفتن
assistant,دستیار
examination,بازرسی
identification,تشدید - شناسایی
borrow,قرض گرفتن
purchase,خریدن
property,دارایی
reduce,کاهش دادن
payments,پرداخت ها
funeral,خاکسپاری
obviously,به طور آشکار - به وضوح
victims,قربانیان - تلفات
spirit,روحیه
yelled,فریاد زد
snatched,ربود - گرفت
fictional,ساختگی
deal,مقدار - حد
tormented,مورد شکنجه
nerve racking,اضطراب آور
gather,گرد آمدن
smooth,هموار
inspect,بازرسی کردن
bushes,بوته
source,منبع
ultimate,نهایی
stroke,ضربه
cupboard,قفسه
summoned,احضار شده
substance,محتوا
explanation,توضیح
satisfactorily,راضی کننده
presence,حضور
violently,به طور خشن
suspect,مشکوک
decline,کاهش دادن
deposition,گواهی
disposable,قابل عرضه
deposit,بیعانه
court,دادگاه
alternative,جایگزین
promoted,ارتقا یافته
rumor,شایعه
presentation,ارائه
arctic,قطب شمال
giants,غول ها
