stereotypical,کلیشه ای
portrayed,به تصویر کشیده شده
involve,شامل کردن چیزی
peer,هم سن
imply,دلالت داشتن - اشاره کردن
stated directly,مستقیما بیان شده
states,بیان میکند - اظهار دارد
inference,استنباط
conclusions,نتیجه گیری ها
malicious,بدخواه
spreading,گسترش
venting,تخلیه - تهویه
frustration,نا امیدی
suburban,حومه شهر
expert,متخصص
fellow,همکار
necessarily,لزوما
varied,متنوع
predominately,عمدتا
solidly,کاملا - به طور محکم
volunteer,داوطلب
perpetrator,مجرم
occurrences,وقایع
distinct,متمایز
tend,تمایل
thorough,کامل
through,از طریق
though,هر چند
whereas,در حالی که
shallower,سطحی تر
approach,رویکرد
individual,فردی
regard,توجه
counterculture,ضد فرهنگ
established,تثبیت شده
lack,فقدان - عدم
differ,متفاوت
initially,در ابتدا
attracted,جذب شده
dominate,تسلط داشتن
intimate,صمیمی
independently,به طور مستقل
relinquishes,رها میکند
disassociated,جدا شده
motion,حرکت
perceive,درک کردن
replicate,تکثیر - تکرار
assert,ادعا کردن - اظهار کردن
furthermore,علاوه بر این
consequences,عواقب
degree,مدرک - تا حدی
desensitization,حساسیت زدایی
occurs,رخ میدهد
visual,بصری
cue,نشانه
contextual,زمینه ای
impact,تاثیر
abusive,توهین آمیز
mischief,شیطنت
justify,توجیه کردن
behavior,رفتار
rationale,منطق
impression,برداشت
tune,لحن
misunderstood,درک نشده - سو تفاهم
circumstances,شرایط
perception,ادراک
forum,انجمن
neglect,غفلت
commonly,معمولا
assumed,فرض میشود
loudest,بلندترین
self-esteem,عزت نفس
crisis,بحران
revealed,آشکار شد
insisted,اصرار کرد
detective,کاراگاه
assured,مطمین
track down,ردیابی کردن
crime,جنایت
root,ریشه
fold,تا کردن
bend,خم کردن
layer,لایه لایه کردن
entwine,در هم تنیدن
implicate,دخیل کردن
inexplicable,غیر قابل توضیح
explicit,صریح
pleat,چین و شکن
pliable,فابل انعطاف
multiplex,متعدد
multiply,تکثیر کردن
implicit,ضمنی - مطلق
particular,خاص
starched and ironed,آحار زده و اتو کشیده شده
admit,اعتراف کردن
demonstrated,نشان داده شده
slamming,کوبیدن
scandal,رسوایی
stomping,پایکوبی
molding clay,خاک رس
sued,شکایت کرد
affected,تحت تاثیر قرار گرفته
polite,مودب
rebellious,سرکش
aggressive,تهاجمی
soft-spoken,نرم و ملایم حرف زدن
easy-going,آسان گیر - آرام و بردبار در نگرش
intelligent,هوشمند
outgoing,خروجی
bad-tempered,بدخلق
unconvetional,غیر متعارف
patient,صبور
inferences,نتیجه بر اساس استدلال
infer,حدس زدن - اشاره کردن
play along,همکاری کردن
shoot something,از چیزی عکس گرفتن
carrying,حمل کردن
across,در سراسر
mat,حصیر - پادری
gymnasium,سالن ورزشی
male-dominated,مرد سالاری
prodigy,نابغه
executable,قابل اجرا
infect,آلوده کردن
infected,مبتلا شده
mangles,نابود کردن
so-called,به اصطلاح
immaculate,بی عیب و نقص
cottage,کلبه
decline,امتناع کردن
although,اگرچه
causing,باعث
harm,آسیب
intentionally,عمدتا
appropriate,مناسب
nevertheless,با این وجود
cordial,صمیمانه
throughout,در سراسر
set aside,کنار گذاشتن (ذخیره کردن)
flicking,کار کردن - تکان دادن
fewer,حداقل - کمتر
term,اصطلاح
specific,خاص
operating,عملیاتی
statement,بیانیه
certainly,قطعا
ethics,اخلاق
led out,به بیرون هدایت کرد
backyard,حیاط خلوت
groomed,آراسته
gnome,عروسک کریسمس
pond,برکه - تالاب 
ferret,موش خرما
cunning,حیله گر
bite,نیش زدن
reasonable,معقول
vandalism,خرابکاری
some sort of license,نوعی مجوز
turning somersaults,پشتک وارو زدن
furry,پشمالو
fluently,به طور روان
attitude,نگرش
messy,کثیف
tidy,مرتب
well-groomed,خوش لباس
appearance,ظاهر
bibliography,کتاب شناسی
cartography,نقشه برداری
monograph,مونوگراف
autobiography,زندگینامه
demography,جمعیت شناسی
seismograph,لرزه نگار
choreography,رقص آرایی
scholarly pamphelt,جزوه علمی
density,غلظت - تراکم - چگالی
distribution,توزیع
vital statistics,آمار حیاتی
navigational,ناوبری
landscape,منظره
instrument,ساز - وسیله
detecting,تشخیص
duration,مدت زمان
intensity,به شدت
earthquake,زلزله
sequences,دنباله ها - توالی ها
essay,مقاله
cite,استناد
extensive,گسترده
numerous,متعدد
recipe,دستورالعمل
rice,افزایش
strain,فشار
spreadsheet,صفحه گسترده
specification,مشخصات
advertising,تبلیغات
abbreviations,اختصارات
jargon,اصطلاحات تخصصی
encourage,تشویق کردن
miserable,بدبختانه
geeky,دارای رفتار عجیب
unmasking,نقاب برداشتن
genius,نابغه
wipe,پاک کردن
graffiti,دیوار نگاری سبک گرافیتی
plug,دو شاخه
combat,مبارزه
