emotional intelligence quotient,ضریب هوش هیجانی
quotient,نسبت
unpleasant,ناخوشایند
resist,تحمل
sense,احساس کردن
impulse,برانگیختن
impulsive ,تکانشی
reflective ,انعکاسی
audience,حضار
attention,توجه
lecture,ارائه
best-seller,پر فروش ترین
fascinating,جذاب
stability,ثبات
destabilize ,بی‌ثبات کردن
stabilize ,تثبیت
unstable ,ناپایدار
determining,تعیین کردن
individual,شخص
highlight,برجسته
foundation leader,بنیان گذار
educator,مدرس
grant,گرفتن - کمک هزینه
donor,اهداکننده
donate ,اهدا کردن
administered,اجرا شده
tariff ,تعرفه
experiment,آزمایش
errand (run an errand),ماموریت
preschoolers,کودکان پیش دبستانی
diagnostic,تشخیصی
dozen,دوازده عدد
tracked down,ردیابی شده
adolescents,نوجوان - بالغ
gratification,لذت
gratify,خشنود کردن
delaying,به تاخیر انداختن
peers,همتایان - دو جفت
dramatic,نمایشی
competent,شایسته
go to pieces,از هم پاشیدن
regress,پسرفت کردن
rattled,ناراحت
disorganized,به هم ریخته
embraced,در آغوش گرفته
embrace an idea,پذیرفتن چیزی
pursued,تحت تعقیب
giving up,تسلیم شدن
self-reliant,متکی به خود
confident,با اعتماد به نفس - بی پروا
trustworthy,قابل اعتماد
dependable,قابل اطمینان
shying away,خجالت کشیدن
stubborn,سرسخت
indecisive,بلاتکلیف
frustrations,ناامیدی‌ها
unworthy,بی‌لیاقت - ناشایسته
immobilized,ساکن - راکد
mistrustful,شکاک
prone to,مستعد چیزی بودن
jealousy,حسادت
overreact,واکنش بیش از حد نشان دادن
sharp tempered,تند مزاج
lone,تنها
neuron,عصب - نورون
bypass,گذشتن
rational,منطقی
straight,مستقیم
primitive,اولیه
fight or flight,ستیز یا گریز
occur,رخ دادن
pile up,انباشته کردن
stored,ذخیره شده
memories,خاطرات
involving,شامل
temper,خلق و خو
anxiety,اضطراب
depression,افسردگی
hijack,دزدیدن
flooding,غرق کردن
flood someone with,باعث شدن تجربه احساسات زیاد
inappropriate,نامناسب
restraint,محدودیت
self-awareness,خودآگاهی
self-regulation,خودتنظیمی
self-motivation,خودانگیزشی
empathy,همدلی
sympathy,همدردی
optimism,خوشبینی
endowed,غنی - دارا
be endowed with a talent ,مستعد چیزی بودن
enslave,به بندگی درآمدن
praised,تحسین شده
aptitude,استعداد
across the board,در سراسر - تماما
coast,ساحل
suburb,حومه شهر
vulnerable,آسیب پذیر
massive,عظیم
malaise,کسالت - ضعف
mature,به بلوغ رسیدن
taught,تدریس کرد
perhaps,شاید
intriguing,مجذوب کننده
behavior,رفتار
steady,ثابت
modest,معتدل
feminine,زنانه
preserve,نگهداری کردن
astute,زیرک
perceptive,باهوش - نکته بین
absolutely,کاملاً
powerless,ناتوان
reform,اصلاح کردن
marginalized,تحقیر کردن
stuff,چیزها
consequential,مهم
conduct ,رفتار
maturity,بلوغ
all-you-can-eat lunch,رستوران سلف سرویس
tendency,تمایل
announce,اعلام کردن
wage cuts,کاهش دستمزدها
wage,دستمزد ساعتی
salary,حقوق ثابت قراردادی
